,size,time,type,value,sid
111,0,2018-04-24 03:06:27,BID,9205.2,XBTUSD KRKN Curncy
112,0,2018-04-24 03:06:27,ASK,9205.9,XBTUSD KRKN Curncy
113,0,2018-04-24 03:06:27,TRADE,9205.1,XBTUSD KRKN Curncy
114,0,2018-04-24 03:11:43,BID,9196.0,XBTUSD KRKN Curncy
115,0,2018-04-24 03:11:43,ASK,9204.9,XBTUSD KRKN Curncy
116,0,2018-04-24 03:11:43,TRADE,9195.2,XBTUSD KRKN Curncy
117,0,2018-04-24 03:16:54,BID,9208.6,XBTUSD KRKN Curncy
118,0,2018-04-24 03:16:54,ASK,9209.0,XBTUSD KRKN Curncy
119,0,2018-04-24 03:16:54,TRADE,9209.0,XBTUSD KRKN Curncy
120,0,2018-04-24 03:21:57,BID,9209.1,XBTUSD KRKN Curncy
121,0,2018-04-24 03:21:57,ASK,9211.4,XBTUSD KRKN Curncy
122,0,2018-04-24 03:21:57,TRADE,9211.2,XBTUSD KRKN Curncy
123,0,2018-04-24 03:27:07,BID,9216.9,XBTUSD KRKN Curncy
124,0,2018-04-24 03:27:07,ASK,9217.0,XBTUSD KRKN Curncy
125,0,2018-04-24 03:27:07,TRADE,9217.0,XBTUSD KRKN Curncy
126,0,2018-04-24 03:31:58,BID,9215.8,XBTUSD KRKN Curncy
127,0,2018-04-24 03:31:58,ASK,9220.0,XBTUSD KRKN Curncy
128,0,2018-04-24 03:31:58,TRADE,9215.8,XBTUSD KRKN Curncy
129,0,2018-04-24 03:37:08,BID,9216.0,XBTUSD KRKN Curncy
130,0,2018-04-24 03:37:08,ASK,9219.3,XBTUSD KRKN Curncy
131,0,2018-04-24 03:37:08,TRADE,9219.9,XBTUSD KRKN Curncy
132,0,2018-04-24 03:42:36,BID,9218.2,XBTUSD KRKN Curncy
133,0,2018-04-24 03:42:36,ASK,9219.9,XBTUSD KRKN Curncy
134,0,2018-04-24 03:42:36,TRADE,9218.2,XBTUSD KRKN Curncy
135,0,2018-04-24 03:47:05,BID,9205.3,XBTUSD KRKN Curncy
136,0,2018-04-24 03:47:05,ASK,9206.5,XBTUSD KRKN Curncy
137,0,2018-04-24 03:47:05,TRADE,9206.4,XBTUSD KRKN Curncy
138,0,2018-04-24 03:52:12,BID,9210.0,XBTUSD KRKN Curncy
139,0,2018-04-24 03:52:12,ASK,9210.7,XBTUSD KRKN Curncy
140,0,2018-04-24 03:52:12,TRADE,9210.0,XBTUSD KRKN Curncy
141,0,2018-04-24 03:57:02,BID,9223.2,XBTUSD KRKN Curncy
142,0,2018-04-24 03:57:02,ASK,9224.7,XBTUSD KRKN Curncy
143,0,2018-04-24 03:57:02,TRADE,9223.2,XBTUSD KRKN Curncy
144,0,2018-04-24 04:02:02,BID,9210.8,XBTUSD KRKN Curncy
145,0,2018-04-24 04:02:02,ASK,9222.0,XBTUSD KRKN Curncy
146,0,2018-04-24 04:02:02,TRADE,9222.0,XBTUSD KRKN Curncy
147,0,2018-04-24 04:07:02,BID,9247.0,XBTUSD KRKN Curncy
148,0,2018-04-24 04:07:02,ASK,9247.3,XBTUSD KRKN Curncy
149,0,2018-04-24 04:07:02,TRADE,9247.4,XBTUSD KRKN Curncy
150,0,2018-04-24 04:11:57,BID,9243.9,XBTUSD KRKN Curncy
151,0,2018-04-24 04:11:57,ASK,9244.0,XBTUSD KRKN Curncy
152,0,2018-04-24 04:11:57,TRADE,9244.0,XBTUSD KRKN Curncy
153,0,2018-04-24 04:16:51,BID,9239.9,XBTUSD KRKN Curncy
154,0,2018-04-24 04:16:51,ASK,9240.0,XBTUSD KRKN Curncy
155,0,2018-04-24 04:16:51,TRADE,9240.0,XBTUSD KRKN Curncy
156,0,2018-04-24 04:22:06,BID,9218.6,XBTUSD KRKN Curncy
157,0,2018-04-24 04:22:06,ASK,9224.4,XBTUSD KRKN Curncy
158,0,2018-04-24 04:22:06,TRADE,9218.6,XBTUSD KRKN Curncy
159,0,2018-04-24 04:26:56,BID,9229.1,XBTUSD KRKN Curncy
160,0,2018-04-24 04:26:56,ASK,9233.5,XBTUSD KRKN Curncy
161,0,2018-04-24 04:26:56,TRADE,9232.6,XBTUSD KRKN Curncy
162,0,2018-04-24 04:31:57,BID,9235.4,XBTUSD KRKN Curncy
163,0,2018-04-24 04:31:57,ASK,9241.0,XBTUSD KRKN Curncy
164,0,2018-04-24 04:31:57,TRADE,9232.9,XBTUSD KRKN Curncy
165,0,2018-04-24 04:37:26,BID,9245.8,XBTUSD KRKN Curncy
166,0,2018-04-24 04:37:26,ASK,9248.8,XBTUSD KRKN Curncy
167,0,2018-04-24 04:37:26,TRADE,9249.2,XBTUSD KRKN Curncy
168,0,2018-04-24 04:42:05,BID,9247.3,XBTUSD KRKN Curncy
169,0,2018-04-24 04:42:05,ASK,9249.7,XBTUSD KRKN Curncy
170,0,2018-04-24 04:42:05,TRADE,9249.7,XBTUSD KRKN Curncy
171,0,2018-04-24 04:47:06,BID,9260.0,XBTUSD KRKN Curncy
172,0,2018-04-24 04:47:06,ASK,9260.1,XBTUSD KRKN Curncy
173,0,2018-04-24 04:47:06,TRADE,9260.1,XBTUSD KRKN Curncy
174,0,2018-04-24 04:52:10,BID,9250.9,XBTUSD KRKN Curncy
175,0,2018-04-24 04:52:10,ASK,9255.4,XBTUSD KRKN Curncy
176,0,2018-04-24 04:52:10,TRADE,9255.4,XBTUSD KRKN Curncy
177,0,2018-04-24 04:57:16,BID,9260.1,XBTUSD KRKN Curncy
178,0,2018-04-24 04:57:16,ASK,9261.8,XBTUSD KRKN Curncy
179,0,2018-04-24 04:57:16,TRADE,9260.1,XBTUSD KRKN Curncy
180,0,2018-04-24 05:02:22,BID,9273.6,XBTUSD KRKN Curncy
181,0,2018-04-24 05:02:22,ASK,9279.2,XBTUSD KRKN Curncy
182,0,2018-04-24 05:02:22,TRADE,9273.5,XBTUSD KRKN Curncy
183,0,2018-04-24 05:07:18,BID,9251.1,XBTUSD KRKN Curncy
184,0,2018-04-24 05:07:18,ASK,9259.3,XBTUSD KRKN Curncy
185,0,2018-04-24 05:07:18,TRADE,9252.0,XBTUSD KRKN Curncy
186,0,2018-04-24 05:12:30,BID,9249.3,XBTUSD KRKN Curncy
187,0,2018-04-24 05:12:30,ASK,9254.9,XBTUSD KRKN Curncy
188,0,2018-04-24 05:12:30,TRADE,9249.3,XBTUSD KRKN Curncy
